,task_source,task_target,method,mae,r2,random_state
4,rest,passive,align_procrustes_paired,9.143295154150543,0.6292217501002475,62955
5,rest,passive,dummy,15.943135725429016,0.0,62955
0,rest,passive,no_alignment,18.926896581651263,-0.39793455919995324,64925
1,rest,passive,align_z_score,11.051634694061761,0.43929598585028506,64925
2,rest,passive,align_recenter,10.381430714821052,0.49736503296746437,64925
3,rest,passive,align_recenter_rescale,10.30301198589074,0.496011584518007,64925
4,rest,passive,align_procrustes_paired,9.083341377942423,0.5599101774517679,64925
5,rest,passive,dummy,15.89609984399376,0.0,64925
0,rest,passive,no_alignment,14.984197156217409,0.05796177018363824,67969
1,rest,passive,align_z_score,10.229792039945202,0.4856527354796192,67969
2,rest,passive,align_recenter,10.478916072999615,0.4897505898974639,67969
3,rest,passive,align_recenter_rescale,9.546537748344372,0.5793629424333961,67969
4,rest,passive,align_procrustes_paired,7.470121126414052,0.7435215117931184,67969
5,rest,passive,dummy,15.80393135725429,0.0,67969
0,rest,passive,no_alignment,25.78358063567221,-1.480743523858799,5311
1,rest,passive,align_z_score,11.338907901774855,0.41730813985680926,5311
2,rest,passive,align_recenter,11.75695156092832,0.3729917404530836,5311
3,rest,passive,align_recenter_rescale,10.26804980173649,0.5180302279092526,5311
4,rest,passive,align_procrustes_paired,6.713893730207724,0.7602141231084925,5311
5,rest,passive,dummy,15.870390015600623,0.0,5311
0,rest,passive,no_alignment,20.332407334720553,-0.6795966517330523,83104
1,rest,passive,align_z_score,10.669678697885375,0.45661579779938,83104
2,rest,passive,align_recenter,10.558389516209727,0.467324843961079,83104
3,rest,passive,align_recenter_rescale,9.730617004328694,0.5723988280589996,83104
4,rest,passive,align_procrustes_paired,7.718190819929866,0.7184044225970494,83104
5,rest,passive,dummy,15.732090483619345,0.0,83104
0,rest,passive,no_alignment,11.046576959736647,0.41511701493730746,53707
1,rest,passive,align_z_score,11.690205269991067,0.39596389393593767,53707
2,rest,passive,align_recenter,9.517839089735013,0.5787734966392843,53707
3,rest,passive,align_recenter_rescale,10.91179995415729,0.47763940217734735,53707
4,rest,passive,align_procrustes_paired,8.137566702652304,0.6830608430998077,53707
5,rest,passive,dummy,15.948159126365056,0.0,53707
0,rest,passive,no_alignment,20.966292451875027,-0.6961608730495428,85305
1,rest,passive,align_z_score,10.222477487638264,0.4901433959480018,85305
2,rest,passive,align_recenter,10.901099385989005,0.45771498615138895,85305
3,rest,passive,align_recenter_rescale,9.366718617018467,0.5937141366501355,85305
4,rest,passive,align_procrustes_paired,7.312238197578331,0.6760412655634171,85305
5,rest,passive,dummy,15.9288143525741,0.0,85305
0,rest,passive,no_alignment,23.273533503902428,-1.0911804043643905,28693
1,rest,passive,align_z_score,8.994444581513022,0.6090410668176431,28693
2,rest,passive,align_recenter,10.645219137825025,0.4816613007981644,28693
3,rest,passive,align_recenter_rescale,9.710141409601182,0.5516674116737916,28693
4,rest,passive,align_procrustes_paired,7.240396258165842,0.7440464152212889,28693
5,rest,passive,dummy,15.800093603744148,0.0,28693
0,rest,passive,no_alignment,12.976787278759787,0.3081392425951778,71932
1,rest,passive,align_z_score,10.020060653778456,0.5554234139602101,71932
2,rest,passive,align_recenter,10.399165233939232,0.5080102625438886,71932
3,rest,passive,align_recenter_rescale,11.190778663725395,0.4496302813078842,71932
4,rest,passive,align_procrustes_paired,8.348877215637508,0.6617744250985512,71932
5,rest,passive,dummy,15.752340093603744,0.0,71932
0,rest,passive,no_alignment,12.603950936892025,0.2903634343349415,93016
1,rest,passive,align_z_score,11.275142692143481,0.4192186633987832,93016
