,task_source,task_target,method,mae,r2,random_state
3,rest,passive,align_recenter_rescale,7.5108237916103775,0.7467505890568531,93016
4,rest,passive,align_procrustes_paired,5.507959220819549,0.8142157552926013,93016
5,rest,passive,dummy,16.013400936037442,0.0,93016
0,rest,passive,no_alignment,8.063070147081635,0.7170218537339966,25658
1,rest,passive,align_z_score,8.368858521991207,0.6885818467932832,25658
2,rest,passive,align_recenter,7.465069844455403,0.7565885031205288,25658
3,rest,passive,align_recenter_rescale,7.203870262470413,0.772645183395443,25658
4,rest,passive,align_procrustes_paired,4.99337851906149,0.846244365893043,25658
5,rest,passive,dummy,15.878268330733228,0.0,25658
0,rest,passive,no_alignment,8.096781132043303,0.7149601615229597,84478
1,rest,passive,align_z_score,8.54281204923326,0.6772397563477262,84478
2,rest,passive,align_recenter,7.776344961954453,0.7321667642526889,84478
3,rest,passive,align_recenter_rescale,7.5903681353366546,0.744147356331238,84478
4,rest,passive,align_procrustes_paired,4.961096543723281,0.8846305951530948,84478
5,rest,passive,dummy,15.994056162246487,0.0,84478
0,rest,passive,no_alignment,8.723081072031967,0.6623970665619823,18431
1,rest,passive,align_z_score,8.068204958048561,0.7096683070795318,18431
2,rest,passive,align_recenter,7.399527821267504,0.7560673566735397,18431
3,rest,passive,align_recenter_rescale,7.291179388134931,0.7641600026782615,18431
4,rest,passive,align_procrustes_paired,5.140372801601763,0.8459178687692788,18431
5,rest,passive,dummy,15.73638065522621,0.0,18431
0,rest,passive,no_alignment,8.857550578559229,0.6559729312286156,2747
1,rest,passive,align_z_score,8.30835694109725,0.6945420299414468,2747
2,rest,passive,align_recenter,7.847570145128886,0.719102874503571,2747
3,rest,passive,align_recenter_rescale,7.718081420437924,0.7262143249349098,2747
4,rest,passive,align_procrustes_paired,5.488715563709972,0.7725223271180002,2747
5,rest,passive,dummy,15.882137285491421,0.0,2747
0,rest,passive,no_alignment,9.07540266871651,0.6449297969998745,59150
1,rest,passive,align_z_score,8.23478827677129,0.6953019141837227,59150
2,rest,passive,align_recenter,7.672521118185015,0.7406039307597319,59150
3,rest,passive,align_recenter_rescale,7.599981446841684,0.7432595656526554,59150
4,rest,passive,align_procrustes_paired,5.090959977371457,0.8510272600109379,59150
5,rest,passive,dummy,15.737722308892357,0.0,59150
0,rest,passive,no_alignment,7.319901129449059,0.7607232143690889,65725
1,rest,passive,align_z_score,7.806896293262522,0.7197072208525213,65725
2,rest,passive,align_recenter,7.42669369519679,0.7490508783327112,65725
3,rest,passive,align_recenter_rescale,7.2744159314088375,0.759710177069089,65725
4,rest,passive,align_procrustes_paired,4.760387326872658,0.8885384595466632,65725
5,rest,passive,dummy,15.911123244929795,0.0,65725
0,rest,passive,no_alignment,7.795627865336532,0.7298469734993458,84654
1,rest,passive,align_z_score,7.811971593468664,0.7199736482414381,84654
2,rest,passive,align_recenter,6.894871523387505,0.7847241592458327,84654
3,rest,passive,align_recenter_rescale,6.866274776402415,0.7859582121723124,84654
4,rest,passive,align_procrustes_paired,5.0893794430540495,0.839667762550793,84654
5,rest,passive,dummy,15.84842433697348,0.0,84654
0,rest,passive,no_alignment,8.457943668552208,0.6848764386490929,35773
1,rest,passive,align_z_score,8.213805029190402,0.7026215691864325,35773
2,rest,passive,align_recenter,7.6014280460473636,0.7374279077386715,35773
3,rest,passive,align_recenter_rescale,7.485091319478491,0.7484265837080736,35773
4,rest,passive,align_procrustes_paired,4.166189975826012,0.9160502285601322,35773
5,rest,passive,dummy,15.764508580343213,0.0,35773
0,rest,passive,no_alignment,8.502118855858328,0.6851756048133149,67435
1,rest,passive,align_z_score,7.800253670609644,0.7272474190258809,67435
2,rest,passive,align_recenter,7.190368283779213,0.7676910130794463,67435
3,rest,passive,align_recenter_rescale,7.069141265176692,0.7756806745324836,67435
