,scenario,parameter,method,mae,r2,random_state
29,Recenter,2.0,align_z_score,0.6387976345545527,0.6259225225357874,860
30,Recenter,2.0,align_recenter,0.0806117011153294,0.9935303098539912,860
31,Recenter,2.0,align_recenter_rescale,0.08061170111536067,0.993530309853987,860
32,Recenter,2.0,align_procrustes_paired,0.0003385150705950004,0.9999998872001584,860
33,Recenter,2.0,align_procrustes,0.003322335524311602,0.9999889625942318,860
34,Recenter,2.0,dummy,1.0,0.0,860
0,Recenter,0.0,no_alignment,0.0003573687284046708,0.9999998757644402,5390
1,Recenter,0.0,align_z_score,0.12465109129409586,0.9841461168078511,5390
2,Recenter,0.0,align_recenter,0.00035736872843996297,0.9999998757644402,5390
3,Recenter,0.0,align_recenter_rescale,0.00035736872844299093,0.9999998757644402,5390
4,Recenter,0.0,align_procrustes_paired,0.0003573687284450604,0.9999998757644402,5390
5,Recenter,0.0,align_procrustes,0.003325418538926682,0.9999889625942314,5390
6,Recenter,0.0,dummy,1.0,0.0,5390
7,Recenter,0.5,no_alignment,1.186333386167025,0.03198162446918684,5390
8,Recenter,0.5,align_z_score,1.6010930063527558,-1.1218920193706352,5390
9,Recenter,0.5,align_recenter,0.011301641457103192,0.9998678688234639,5390
10,Recenter,0.5,align_recenter_rescale,0.011301641457123316,0.9998678688234635,5390
11,Recenter,0.5,align_procrustes_paired,0.0003573687284694647,0.99999987576444,5390
12,Recenter,0.5,align_procrustes,0.0033254185389667793,0.9999889625942313,5390
13,Recenter,0.5,dummy,1.0,0.0,5390
14,Recenter,1.0,no_alignment,1.6963497464320012,-0.9538717956608502,5390
15,Recenter,1.0,align_z_score,2.9329988190080862,-5.143171889794376,5390
16,Recenter,1.0,align_recenter,0.027453495461743294,0.9992132810039126,5390
17,Recenter,1.0,align_recenter_rescale,0.027453495461774013,0.9992132810039107,5390
18,Recenter,1.0,align_procrustes_paired,0.0003573687285280911,0.99999987576444,5390
19,Recenter,1.0,align_procrustes,0.0033254185389539137,0.9999889625942314,5390
20,Recenter,1.0,dummy,1.0,0.0,5390
21,Recenter,1.5,no_alignment,2.1445090614552167,-2.1030056299035462,5390
22,Recenter,1.5,align_z_score,4.122409622115991,-10.449794639112552,5390
23,Recenter,1.5,align_recenter,0.0487223009565477,0.9975252793073773,5390
24,Recenter,1.5,align_recenter_rescale,0.048722300956609496,0.9975252793073706,5390
