,scenario,parameter,method,mae,r2,random_state
0,Recenter,0.0,no_alignment,0.0033509080553321274,0.9999892462081674,860
1,Recenter,0.0,align_z_score,0.2668339094775339,0.9211519157546627,860
2,Recenter,0.0,align_recenter,0.003350908055334048,0.9999892462081674,860
3,Recenter,0.0,align_recenter_rescale,0.0033509080553320012,0.9999892462081674,860
4,Recenter,0.0,align_procrustes,0.24298718834910546,0.942469178349747,860
5,Recenter,0.0,align_procrustes_paired,0.003350908055330594,0.9999892462081674,860
6,Recenter,0.0,dummy,1.0,-0.000337405609893926,860
7,Recenter,0.5,no_alignment,0.4784340551610367,0.7419271569612106,860
8,Recenter,0.5,align_z_score,0.5048651760503859,0.761253054382874,860
9,Recenter,0.5,align_recenter,0.02715659830111348,0.9980524402722605,860
10,Recenter,0.5,align_recenter_rescale,0.007412161814397221,0.9999431115901388,860
11,Recenter,0.5,align_procrustes,0.24298718834909153,0.9424691783497431,860
12,Recenter,0.5,align_procrustes_paired,0.0033509080553334293,0.9999892462081674,860
13,Recenter,0.5,dummy,1.0,-0.000337405609893926,860
14,Recenter,1.0,no_alignment,0.7824033183973625,0.38068854693958776,860
15,Recenter,1.0,align_z_score,1.039351148732709,0.0437192499361001,860
16,Recenter,1.0,align_recenter,0.07583698901417218,0.9885587822760197,860
17,Recenter,1.0,align_recenter_rescale,0.01952833625185671,0.9995801971274024,860
18,Recenter,1.0,align_procrustes,0.24298718834910657,0.942469178349747,860
19,Recenter,1.0,align_procrustes_paired,0.0033509080553304382,0.9999892462081674,860
20,Recenter,1.0,dummy,1.0,-0.000337405609893926,860
21,Recenter,1.5,no_alignment,0.9834226716582722,0.06496211913345096,860
22,Recenter,1.5,align_z_score,1.8999363730593921,-1.9272155079282398,860
23,Recenter,1.5,align_recenter,0.12984260513129162,0.9719773715461397,860
24,Recenter,1.5,align_recenter_rescale,0.03803962090214329,0.9983950518361536,860
25,Recenter,1.5,align_procrustes,0.24298718834905642,0.9424691783497618,860
26,Recenter,1.5,align_procrustes_paired,0.0033509080553314422,0.9999892462081674,860
27,Recenter,1.5,dummy,1.0,-0.000337405609893926,860
28,Recenter,2.0,no_alignment,1.1359641854054785,-0.20679742489345787,860
29,Recenter,2.0,align_z_score,3.1151950489107008,-6.308009131048943,860
30,Recenter,2.0,align_recenter,0.18142588121841674,0.95089996894509,860
31,Recenter,2.0,align_recenter_rescale,0.060567955579707275,0.9959409685681915,860
32,Recenter,2.0,align_procrustes,0.24298718834898353,0.9424691783497618,860
33,Recenter,2.0,align_procrustes_paired,0.0033509080553384995,0.9999892462081674,860
34,Recenter,2.0,dummy,1.0,-0.000337405609893926,860
0,Recenter,0.0,no_alignment,0.0037910758102288646,0.9999862283234515,5390
1,Recenter,0.0,align_z_score,0.4079653323319838,0.8440790784389127,5390
2,Recenter,0.0,align_recenter,0.003791075810272922,0.9999862283234504,5390
3,Recenter,0.0,align_recenter_rescale,0.003791075810051494,0.9999862283234511,5390
4,Recenter,0.0,align_procrustes,0.24016213996951716,0.9471721528233178,5390
5,Recenter,0.0,align_procrustes_paired,0.003791075810029894,0.9999862283234513,5390
6,Recenter,0.0,dummy,1.0,-0.0023521973423685782,5390
7,Recenter,0.5,no_alignment,5.062332154026496,-14.950031197099106,5390
8,Recenter,0.5,align_z_score,1.07337305004697,0.06517727640155413,5390
9,Recenter,0.5,align_recenter,0.037152263994288365,0.9930008149112165,5390
10,Recenter,0.5,align_recenter_rescale,0.00817439148318127,0.9999230094828653,5390
11,Recenter,0.5,align_procrustes,0.24016213997231398,0.9471721528230965,5390
12,Recenter,0.5,align_procrustes_paired,0.003791075810423095,0.9999862283234487,5390
13,Recenter,0.5,dummy,1.0,-0.0023521973423685782,5390
14,Recenter,1.0,no_alignment,8.114662226784436,-38.895715628979985,5390
15,Recenter,1.0,align_z_score,3.1769696600144375,-6.015823764480107,5390
16,Recenter,1.0,align_recenter,0.09731307739155852,0.9744647128157126,5390
17,Recenter,1.0,align_recenter_rescale,0.0217481068135485,0.9993827865604774,5390
18,Recenter,1.0,align_procrustes,0.24016213997517252,0.9471721528227519,5390
19,Recenter,1.0,align_procrustes_paired,0.0037910758107710784,0.9999862283234454,5390
20,Recenter,1.0,dummy,1.0,-0.0023521973423685782,5390
21,Recenter,1.5,no_alignment,10.269254827911247,-62.41182991005504,5390
22,Recenter,1.5,align_z_score,6.16351462447908,-23.692529112542694,5390
23,Recenter,1.5,align_recenter,0.16580857932121182,0.9456125677680758,5390
24,Recenter,1.5,align_recenter_rescale,0.04283930913512523,0.9975617854742304,5390
25,Recenter,1.5,align_procrustes,0.24016213997164343,0.9471721528232414,5390
26,Recenter,1.5,align_procrustes_paired,0.003791075810547955,0.9999862283234485,5390
27,Recenter,1.5,dummy,1.0,-0.0023521973423685782,5390
28,Recenter,2.0,no_alignment,11.979978388578495,-84.9922031424005,5390
29,Recenter,2.0,align_z_score,9.343476166263633,-54.40359202710583,5390
30,Recenter,2.0,align_recenter,0.23318398685259065,0.9094449205709827,5390
31,Recenter,2.0,align_recenter_rescale,0.06893309546135658,0.9937744726595251,5390
32,Recenter,2.0,align_procrustes,0.24016213998545494,0.9471721528218808,5390
33,Recenter,2.0,align_procrustes_paired,0.0037910758126340947,0.9999862283234316,5390
34,Recenter,2.0,dummy,1.0,-0.0023521973423685782,5390
0,Recenter,0.0,no_alignment,0.0031596403999269627,0.9999898783992126,5191
1,Recenter,0.0,align_z_score,0.30353434259476036,0.8899567519361558,5191
2,Recenter,0.0,align_recenter,0.0031596403999266105,0.9999898783992126,5191
3,Recenter,0.0,align_recenter_rescale,0.0031596403997831844,0.9999898783992135,5191
4,Recenter,0.0,align_procrustes,0.19347770160787858,0.9609526896342486,5191
5,Recenter,0.0,align_procrustes_paired,0.0031596403997835444,0.9999898783992135,5191
6,Recenter,0.0,dummy,1.0,-0.005435970743461027,5191
7,Recenter,0.5,no_alignment,0.6135403975655557,0.6037596283949174,5191
8,Recenter,0.5,align_z_score,1.1672068402029059,-0.022954941188493727,5191
9,Recenter,0.5,align_recenter,0.038434591043336915,0.993779266702282,5191
10,Recenter,0.5,align_recenter_rescale,0.009570677536840525,0.9998948419964672,5191
11,Recenter,0.5,align_procrustes,0.19347770160731953,0.9609526896343189,5191
12,Recenter,0.5,align_procrustes_paired,0.0031596403996501095,0.9999898783992146,5191
13,Recenter,0.5,dummy,1.0,-0.005435970743461027,5191
14,Recenter,1.0,no_alignment,0.8154085308019133,0.3284511860795395,5191
15,Recenter,1.0,align_z_score,2.355697397827277,-2.858376432376532,5191
16,Recenter,1.0,align_recenter,0.0992763546535187,0.9767816875249067,5191
17,Recenter,1.0,align_recenter_rescale,0.028514892463037213,0.9990236698493494,5191
18,Recenter,1.0,align_procrustes,0.19347770160697686,0.9609526896346016,5191
19,Recenter,1.0,align_procrustes_paired,0.0031596403997959208,0.999989878399214,5191
20,Recenter,1.0,dummy,1.0,-0.005435970743461027,5191
21,Recenter,1.5,no_alignment,1.0204074298443329,-0.027102184588214895,5191
22,Recenter,1.5,align_z_score,3.5802603003592632,-7.6834501103616155,5191
23,Recenter,1.5,align_recenter,0.16420806049788014,0.9521656365657972,5191
24,Recenter,1.5,align_recenter_rescale,0.05673773429160098,0.9961564039746583,5191
25,Recenter,1.5,align_procrustes,0.19347770160818684,0.9609526896340521,5191
