,method,mae,r2,random_state
0,no_alignment,17.608674145776693,-0.025599738777038583,15795
1,dummy,20.422535211267604,-0.07122895866706958,15795
2,align_z_score,12.621568624130271,0.3767509236983628,15795
3,dummy,20.422535211267604,-0.07122895866706958,15795
4,align_recenter,14.773256791207357,0.3224382303113096,15795
5,dummy,20.422535211267604,-0.07122895866706958,15795
6,align_recenter_rescale,12.031517783492326,0.4759533738673094,15795
7,dummy,20.422535211267604,-0.07122895866706958,15795
8,align_procrustes,16.729552933667303,0.09354206764613171,15795
9,dummy,20.422535211267604,-0.07122895866706958,15795
0,no_alignment,16.080564151433414,0.1578842704628587,860
1,dummy,20.422535211267604,-0.05675324925235237,860
2,align_z_score,14.753063401613385,0.2902225436250463,860
3,dummy,20.422535211267604,-0.05675324925235237,860
4,align_recenter,14.72707544745337,0.33111752804919836,860
5,dummy,20.422535211267604,-0.05675324925235237,860
6,align_recenter_rescale,11.583882306233923,0.5152787067681008,860
7,dummy,20.422535211267604,-0.05675324925235237,860
8,align_procrustes,18.115747137184062,0.022702808654081474,860
9,dummy,20.422535211267604,-0.05675324925235237,860
0,no_alignment,13.973152921512824,0.3663992049063166,76820
1,dummy,20.422535211267604,-0.07270150263083797,76820
2,align_z_score,13.56794123842097,0.36166955246135835,76820
3,dummy,20.422535211267604,-0.07270150263083797,76820
4,align_recenter,14.958686560090273,0.29887721884436735,76820
5,dummy,20.422535211267604,-0.07270150263083797,76820
6,align_recenter_rescale,12.492573816623334,0.4378607538624715,76820
7,dummy,20.422535211267604,-0.07270150263083797,76820
8,align_procrustes,17.698628763660203,0.011067748541500166,76820
9,dummy,20.422535211267604,-0.07270150263083797,76820
0,no_alignment,16.245215280507416,0.13438471574775546,54886
1,dummy,20.76525821596244,-0.08508659950968478,54886
2,align_z_score,14.782587226185644,0.29099948750351956,54886
3,dummy,20.76525821596244,-0.08508659950968478,54886
4,align_recenter,15.545793716786639,0.24860469165832777,54886
5,dummy,20.76525821596244,-0.08508659950968478,54886
6,align_recenter_rescale,12.455014750621608,0.47978608603608974,54886
7,dummy,20.76525821596244,-0.08508659950968478,54886
