,method,mae,r2,random_state
1,dummy,20.422535211267604,-0.06741901403656247,16023
2,align_z_score,19.098125974022768,-0.2669442185511006,16023
3,dummy,20.422535211267604,-0.06741901403656247,16023
4,align_recenter,12.121759444033492,0.42981505353617155,16023
5,dummy,20.422535211267604,-0.06741901403656247,16023
6,align_recenter_rescale,12.029780971558267,0.40631268448969105,16023
7,dummy,20.422535211267604,-0.06741901403656247,16023
8,align_procrustes,18.306109733006064,-0.16477488694266929,16023
9,dummy,20.422535211267604,-0.06741901403656247,16023
0,no_alignment,13.904296782568519,0.3350010357225913,41090
1,dummy,20.079812206572768,-0.05992115650548002,41090
2,align_z_score,19.455100696527015,-0.3070393704199659,41090
3,dummy,20.079812206572768,-0.05992115650548002,41090
4,align_recenter,12.276461253742127,0.4585230318992708,41090
5,dummy,20.079812206572768,-0.05992115650548002,41090
6,align_recenter_rescale,11.886316066723118,0.4769146889763307,41090
7,dummy,20.079812206572768,-0.05992115650548002,41090
8,align_procrustes,17.02202477524498,0.01120349983386959,41090
9,dummy,20.079812206572768,-0.05992115650548002,41090
0,no_alignment,13.086728399789745,0.34850751590237106,67221
1,dummy,20.422535211267604,-0.06492511517171273,67221
2,align_z_score,19.507940948071628,-0.29225929658503036,67221
3,dummy,20.422535211267604,-0.06492511517171273,67221
4,align_recenter,12.361808316015212,0.4028976459483571,67221
5,dummy,20.422535211267604,-0.06492511517171273,67221
6,align_recenter_rescale,12.18366798685315,0.42911812604826816,67221
7,dummy,20.422535211267604,-0.06492511517171273,67221
8,align_procrustes,18.60304853556905,-0.15762990842082725,67221
9,dummy,20.422535211267604,-0.06492511517171273,67221
0,no_alignment,14.716271803486485,0.27756198697440027,64820
1,dummy,20.079812206572768,-0.04714452173130246,64820
2,align_z_score,19.532278624200515,-0.32650330232043645,64820
3,dummy,20.079812206572768,-0.04714452173130246,64820
4,align_recenter,12.23033402904259,0.4671850218503625,64820
5,dummy,20.079812206572768,-0.04714452173130246,64820
6,align_recenter_rescale,12.336672865595192,0.44621198151544084,64820
7,dummy,20.079812206572768,-0.04714452173130246,64820
8,align_procrustes,17.216694076067107,0.03913460702307836,64820
9,dummy,20.079812206572768,-0.04714452173130246,64820
0,no_alignment,14.727902268759061,0.26742769538528044,769
1,dummy,20.422535211267604,-0.0575200620348828,769
2,align_z_score,16.37832073834083,0.10672387997222421,769
3,dummy,20.422535211267604,-0.0575200620348828,769
4,align_recenter,11.748059425872194,0.5281766586932661,769
5,dummy,20.422535211267604,-0.0575200620348828,769
6,align_recenter_rescale,11.531047332966528,0.5164375724385852,769
7,dummy,20.422535211267604,-0.0575200620348828,769
8,align_procrustes,18.264378734963188,-0.12147503239195867,769
9,dummy,20.422535211267604,-0.0575200620348828,769
0,no_alignment,14.63643202694742,0.252734646776008,59735
1,dummy,20.422535211267604,-0.07153370179446905,59735
2,align_z_score,16.743795986098878,0.05358213678132584,59735
3,dummy,20.422535211267604,-0.07153370179446905,59735
4,align_recenter,12.038804987348081,0.46648928277907364,59735
5,dummy,20.422535211267604,-0.07153370179446905,59735
6,align_recenter_rescale,11.681676382616375,0.5116152560549816,59735
7,dummy,20.422535211267604,-0.07153370179446905,59735
8,align_procrustes,18.985120849481795,-0.20581610160512676,59735
9,dummy,20.422535211267604,-0.07153370179446905,59735
0,no_alignment,15.467983511567795,0.12451519557048163,62955
1,dummy,20.079812206572768,-0.0621578831723677,62955
2,align_z_score,17.54612783771623,-0.05518243938470491,62955
3,dummy,20.079812206572768,-0.0621578831723677,62955
4,align_recenter,14.379882368434059,0.26439655673808904,62955
5,dummy,20.079812206572768,-0.0621578831723677,62955
6,align_recenter_rescale,14.905026466599265,0.17785883249016587,62955
7,dummy,20.079812206572768,-0.0621578831723677,62955
8,align_procrustes,17.73416880792955,-0.0006282278147398124,62955
9,dummy,20.079812206572768,-0.0621578831723677,62955
0,no_alignment,14.00539509965531,0.3084484890984657,64925
1,dummy,20.422535211267604,-0.08462973126494444,64925
2,align_z_score,17.58775998288708,-0.06736959027642864,64925
3,dummy,20.422535211267604,-0.08462973126494444,64925
4,align_recenter,12.938522605342293,0.4023573203337635,64925
5,dummy,20.422535211267604,-0.08462973126494444,64925
6,align_recenter_rescale,12.678410552660074,0.4128394578700548,64925
7,dummy,20.422535211267604,-0.08462973126494444,64925
8,align_procrustes,18.299682175695335,-0.08316663140610947,64925
9,dummy,20.422535211267604,-0.08462973126494444,64925
0,no_alignment,16.04183151694045,0.10648270821694572,67969
1,dummy,20.079812206572768,-0.05939878005550869,67969
2,align_z_score,17.63925052852087,-0.056089955414963866,67969
3,dummy,20.079812206572768,-0.05939878005550869,67969
4,align_recenter,11.717275459410722,0.47801152884367293,67969
5,dummy,20.079812206572768,-0.05939878005550869,67969
6,align_recenter_rescale,11.318276815184005,0.493804674064691,67969
7,dummy,20.079812206572768,-0.05939878005550869,67969
8,align_procrustes,16.967217374606406,-0.05941381268826551,67969
9,dummy,20.079812206572768,-0.05939878005550869,67969
0,no_alignment,12.255756124351377,0.44379109453024745,5311
1,dummy,20.422535211267604,-0.07376254377049363,5311
2,align_z_score,19.332293466498754,-0.2609949308702668,5311
3,dummy,20.422535211267604,-0.07376254377049363,5311
4,align_recenter,12.220587456652,0.45745898503631,5311
5,dummy,20.422535211267604,-0.07376254377049363,5311
